Capture,n_obs,n_consistent,n_inconsistent,frac_consistent,largest_jump,max_jump_in_24h,Species
F574,540,540,0,1,-1,5,Lake Trout
F575,566,566,0,1,-1,0,Lake Trout
F577,186,186,0,1,-1,1,Lake Trout
F580,160,156,4,0.975,1,1,Lake Trout
F583,325,325,0,1,-1,4,Lake Trout
F584,1022,1022,0,1,-1,4,Lake Trout
F585,1208,1208,0,1,-1,3,Lake Trout
F586,1343,1343,0,1,-1,0,Lake Trout
F591,449,449,0,1,-1,2,Lake Trout
F603,82,82,0,1,-1,0,Lake Trout
F619,554,554,0,1,-1,4,Lake Trout
F620,205,205,0,1,-1,0,Lake Trout
F613,362,362,0,1,-1,4,Lake Trout
F621,1002,1002,0,1,-1,3,Lake Trout
F623,230,230,0,1,-1,4,Lake Trout
F648,1837,1837,0,1,-1,1,Lake Trout
F703,112,112,0,1,-1,2,Lake Trout
F712,1,1,0,1,-1,0,Lake Trout
F023,2288,2288,0,1,-1,3,Rainbow Trout
F038,2234,2234,0,1,-1,4,Rainbow Trout
F044,3515,3508,7,0.99800853485064,1,3,Rainbow Trout
F075,3217,3217,0,1,-1,3,Rainbow Trout
F076,852,852,0,1,-1,2,Rainbow Trout
F077,1420,1420,0,1,-1,3,Rainbow Trout
F094,917,917,0,1,-1,3,Rainbow Trout
F097,110,110,0,1,-1,1,Rainbow Trout
F104,3222,3209,13,0.995965238981999,1,3,Rainbow Trout
F107,1731,1731,0,1,-1,2,Rainbow Trout
F115,265,265,0,1,-1,2,Rainbow Trout
F131,871,871,0,1,-1,5,Rainbow Trout
F175,245,245,0,1,-1,3,Rainbow Trout
F176,1895,1894,1,0.999472295514512,1,2,Rainbow Trout
F184,1755,1755,0,1,-1,3,Rainbow Trout
F190,3615,3596,19,0.994744121715076,2,4,Rainbow Trout
F204,3013,3011,2,0.999336209757717,2,4,Rainbow Trout
F214,375,372,3,0.992,4,4,Rainbow Trout
F217,1234,1233,1,0.999189627228525,1,5,Rainbow Trout
F220,1114,1114,0,1,-1,5,Rainbow Trout
F223,1328,1328,0,1,-1,3,Rainbow Trout
F227,789,789,0,1,-1,1,Rainbow Trout
F229,754,754,0,1,-1,4,Rainbow Trout
F230,681,681,0,1,-1,3,Rainbow Trout
F232,272,272,0,1,-1,3,Rainbow Trout
F233,631,631,0,1,-1,0,Rainbow Trout
F236,942,942,0,1,-1,3,Rainbow Trout
F237,2,2,0,1,-1,0,Rainbow Trout
F240,1829,1826,3,0.998359759431383,1,4,Rainbow Trout
F243,968,957,11,0.988636363636364,1,2,Rainbow Trout
F248,1000,1000,0,1,-1,1,Rainbow Trout
F251,1191,1191,0,1,-1,0,Rainbow Trout
F258,139,139,0,1,-1,3,Rainbow Trout
F290,2690,2674,16,0.994052044609665,4,4,Rainbow Trout
F293,2399,2367,32,0.986661108795331,3,4,Rainbow Trout
F298,21,21,0,1,-1,0,Rainbow Trout
F306,594,594,0,1,-1,3,Rainbow Trout
F324,1553,1553,0,1,-1,4,Rainbow Trout
F344,1697,1690,7,0.995875073659399,2,4,Rainbow Trout
F381,41,41,0,1,-1,1,Rainbow Trout
F395,2026,2022,4,0.998025666337611,1,4,Rainbow Trout
F401,2189,2126,63,0.971219735038831,2,2,Rainbow Trout
F413,849,849,0,1,-1,3,Rainbow Trout
F418,1456,1453,3,0.99793956043956,1,3,Rainbow Trout
F427,1108,1108,0,1,0,3,Rainbow Trout
F444,2822,2803,19,0.993267186392629,4,4,Rainbow Trout
F448,614,612,2,0.996742671009772,4,4,Rainbow Trout
F450,1188,1187,1,0.999158249158249,1,3,Rainbow Trout
F466,218,218,0,1,-1,7,Rainbow Trout
F471,3132,3107,25,0.992017879948914,1,3,Rainbow Trout
F481,2417,2342,75,0.968969797269342,4,4,Rainbow Trout
F485,2190,2185,5,0.997716894977169,1,3,Rainbow Trout
F502,691,691,0,1,-1,2,Rainbow Trout
F505,865,865,0,1,-1,2,Rainbow Trout
F510,139,139,0,1,-1,2,Rainbow Trout
F515,211,211,0,1,-1,3,Rainbow Trout
F521,1158,1130,28,0.975820379965458,2,4,Rainbow Trout
F522,360,360,0,1,-1,0,Rainbow Trout
F527,1352,1351,1,0.999260355029586,1,3,Rainbow Trout
F528,1511,1511,0,1,-1,2,Rainbow Trout
F529,67,67,0,1,-1,2,Rainbow Trout
F530,86,86,0,1,-1,2,Rainbow Trout
F531,1412,1370,42,0.970254957507082,2,2,Rainbow Trout
F532,1709,1709,0,1,-1,4,Rainbow Trout
F536,2017,2017,0,1,-1,2,Rainbow Trout
F533,85,85,0,1,-1,2,Rainbow Trout
F554,1628,1593,35,0.978501228501228,2,4,Rainbow Trout
F558,802,799,3,0.996259351620948,1,3,Rainbow Trout
F579,92,92,0,1,-1,1,Rainbow Trout
F581,114,114,0,1,-1,1,Rainbow Trout
F588,187,187,0,1,-1,3,Rainbow Trout
F590,197,197,0,1,-1,2,Rainbow Trout
F602,236,236,0,1,-1,2,Rainbow Trout
F599,239,239,0,1,-1,2,Rainbow Trout
F601,285,285,0,1,-1,2,Rainbow Trout
F608,13,13,0,1,-1,2,Rainbow Trout
F612,184,184,0,1,-1,3,Rainbow Trout
F622,184,184,0,1,-1,4,Rainbow Trout
F615,17,17,0,1,-1,2,Rainbow Trout
F617,146,146,0,1,-1,2,Rainbow Trout
F632,250,249,1,0.996,1,2,Rainbow Trout
F636,318,318,0,1,-1,1,Rainbow Trout
F640,79,79,0,1,-1,3,Rainbow Trout
F641,243,241,2,0.991769547325103,1,2,Rainbow Trout
F645,202,202,0,1,-1,2,Rainbow Trout
F654,154,154,0,1,-1,4,Rainbow Trout
F701,127,127,0,1,-1,2,Rainbow Trout
F704,182,182,0,1,-1,3,Rainbow Trout
